x,n=5,n=10,n=15,n=20
-2.1303547999734747,5.177173643969928E-4,1.53825707727151E-12,1.1335377081422847E-16,1.1335377081422847E-16
-2.1262526999733495,5.079100556868615E-4,1.4802034042915579E-12,1.1823875212257917E-16,1.1823875212257917E-16
-2.1221505999732244,4.982698988238002E-4,1.42422607041226E-12,1.191269305422793E-16,1.191269305422793E-16
-2.1180484999730993,4.887943651088398E-4,1.370269120393175E-12,1.1513012765362872E-16,1.1513012765362872E-16
-2.113946399972974,4.7948095920334757E-4,1.3182599456484922E-12,1.1524114995609125E-16,1.1524114995609125E-16
-2.109844299972849,4.7032721875442184E-4,1.2681203864772783E-12,1.2045919817182948E-16,1.2045919817182948E-16
-2.105742199972724,4.6133071402371296E-4,1.2197929333268575E-12,1.1268763699945338E-16,1.1268763699945338E-16
-2.101640099972599,4.52489047519654E-4,1.1732421700827445E-12,1.1168843627729075E-16,1.1168843627729075E-16
-2.0975379999724737,4.437998536332203E-4,1.128367732583513E-12,1.1624035067825388E-16,1.1624035067825388E-16
-2.0934358999723486,4.352607982768652E-4,1.0851158305236196E-12,1.1063372440389686E-16,1.1063372440389686E-16
-2.0893337999722235,4.268695785269796E-4,1.0434567654371562E-12,1.0230705171920817E-16,1.0230705171920817E-16
-2.0852316999720983,4.186239222696479E-4,1.0033194830505465E-12,1.0258460747536447E-16,1.0258460747536447E-16
-2.081129599971973,4.105215878496786E-4,9.646438092758558E-13,9.758860386455126E-17,9.758860386455126E-17
-2.077027499971848,4.0256036372293626E-4,9.273902756845587E-13,9.331424521974441E-17,9.331424521974441E-17
-2.072925399971723,3.947380681119496E-4,8.914988192110229E-13,9.692247004977617E-17,9.692247004977617E-17
-2.068823299971598,3.870525486647258E-4,8.569390197443738E-13,9.592326932761352E-17,9.592326932761352E-17
-2.0647211999714727,3.7950168211685017E-4,8.236424320351432E-13,9.753309271332E-17,9.753309271332E-17
-2.0606190999713476,3.720833739566524E-4,7.915932909163814E-13,9.781064846947629E-17,9.781064846947629E-17
-2.0565169999712225,3.6479555809369567E-4,7.607229846051667E-13,9.736655925962623E-17,9.736655925962623E-17
-2.0524148999710974,3.576361965302655E-4,7.310010929906241E-13,9.753309271332E-17,9.753309271332E-17
-2.0483127999709723,3.506032790360785E-4,7.023798209715438E-13,9.903189379656397E-17,9.903189379656397E-17
-2.044210699970847,3.436948228260175E-4,6.748383518662138E-13,9.520162436160718E-17,9.520162436160718E-17
-2.040108599970722,3.369088722410602E-4,6.483027448211942E-13,1.0125233984581428E-16,1.0125233984581428E-16
-2.036006499970597,3.3024349843203607E-4,6.227798832192377E-13,9.536815781530095E-17,9.536815781530095E-17
-2.031904399970472,3.2369679904671535E-4,5.982015993666323E-13,9.880984919163893E-17,9.880984919163893E-17
-2.0278022999703467,3.172668979196174E-4,5.745534048529066E-13,9.614531393253856E-17,9.614531393253856E-17
-2.0237001999702215,3.1095194476502035E-4,5.517853951531038E-13,9.758860386455126E-17,9.758860386455126E-17
-2.0195980999700964,3.047501148727687E-4,5.298828598121475E-13,9.670042544485113E-17,9.670042544485113E-17
-2.0154959999699713,2.986596088071494E-4,5.088097720928886E-13,9.903189379656397E-17,9.903189379656397E-17
-2.011393899969846,2.92678652108621E-4,4.885267745891042E-13,1.0019762797242037E-16,1.0019762797242037E-16
-2.007291799969721,2.8680549499841823E-4,4.690239308047239E-13,1.0019762797242037E-16,1.0019762797242037E-16
-2.003189699969596,2.810384120861245E-4,4.502560546626455E-13,9.414691248821327E-17,9.414691248821327E-17
-1.9990875999695203,2.7537570207996975E-4,4.3220516054987E-13,9.370282327836321E-17,9.370282327836321E-17
-1.9949854999696173,2.6981568750026886E-4,4.1483638746342423E-13,6.339373470609643E-17,6.339373470609643E-17
-1.9908833999697142,2.6435671439486384E-4,3.981416862863796E-13,6.367129046225273E-17,6.367129046225273E-17
-1.9867812999698111,2.5899715205832114E-4,3.820803673448836E-13,6.472600233564662E-17,6.472600233564662E-17
-1.982679199969908,2.53735392753495E-4,3.6663855285112846E-13,6.550315845288423E-17,6.550315845288423E-17
-1.978577099970005,2.4856985143577505E-4,3.517864888280542E-13,6.428191312579656E-17,6.428191312579656E-17
-1.974474999970102,2.434989654800937E-4,3.375069668187791E-13,6.38378239159465E-17,6.38378239159465E-17
-1.9703728999701988,2.3852119441066777E-4,3.2378294489987525E-13,6.583622536027178E-17,6.583622536027178E-17
-1.9662707999702957,2.336350196334065E-4,3.105886658971713E-13,6.256106743762757E-17,6.256106743762757E-17
-1.9621686999703927,2.2883894417099088E-4,2.9790331312895546E-13,5.972999872483343E-17,5.972999872483343E-17
-1.9580665999704896,2.2413149240057523E-4,2.8571817134448453E-13,6.522560269672795E-17,6.522560269672795E-17
-1.9539644999705865,2.195112097941521E-4,2.740029869663374E-13,6.333822355486518E-17,6.333822355486518E-17
